[131.179.150.72:12664] at [2016-03-18 20:41:17]
1458362722430|[INTERNAL] | heartbeats sent to node [134.197.113.3:12665]
1458362723430|  [CIRCLE] | retrieving node of index 8
1458362723430|  [CIRCLE] | retrieved node [130.253.21.121:12664]
1458362723431|[INTERNAL] | heartbeats sent to node [130.253.21.121:12665]
1458362724431|  [CIRCLE] | retrieving node of index 9
1458362724431|  [CIRCLE] | retrieved node [131.179.150.70:12664]
1458362724431|[INTERNAL] | heartbeats sent to node [131.179.150.70:12665]
1458362725423|[INTERNAL] | heartbeats received from node [131.179.150.70:12665]
1458362725431|  [CIRCLE] | retrieving node of index 0
1458362725431|  [CIRCLE] | retrieved node [142.103.2.2:12664]
1458362725431|[INTERNAL] | heartbeats sent to node [142.103.2.2:12665]
1458362726431|  [CIRCLE] | retrieving node of index 1
1458362726431|  [CIRCLE] | retrieved node [128.208.4.99:12664]
1458362726431|[INTERNAL] | heartbeats sent to node [128.208.4.99:12665]
1458362727432|  [CIRCLE] | retrieving node of index 2
1458362727432|  [CIRCLE] | retrieved node [128.208.4.198:12664]
1458362727432|[INTERNAL] | heartbeats sent to node [128.208.4.198:12665]
1458362728404|[INTERNAL] | heartbeats received from node [134.197.113.3:12665]
1458362728432|  [CIRCLE] | retrieving node of index 3
1458362728432|  [CIRCLE] | retrieved node [128.223.8.114:12664]
1458362728432|[INTERNAL] | heartbeats sent to node [128.223.8.114:12665]
1458362729416|[INTERNAL] | heartbeats received from node [134.197.113.4:12665]
1458362729432|  [CIRCLE] | retrieving node of index 4
1458362729432|  [CIRCLE] | retrieved node [128.223.8.111:12664]
1458362729432|[INTERNAL] | heartbeats sent to node [128.223.8.111:12665]
1458362729441|[INTERNAL] | heartbeats received from node [128.223.8.112:12665]
1458362729563|[INTERNAL] | heartbeats received from node [128.223.8.114:12665]
1458362729933|[INTERNAL] | heartbeats received from node [128.223.8.111:12665]
1458362730332|[INTERNAL] | heartbeats received from node [128.208.4.198:12665]
1458362730433|  [CIRCLE] | retrieving node of index 5
1458362730433|  [CIRCLE] | retrieved node [128.223.8.112:12664]
1458362730433|[INTERNAL] | heartbeats sent to node [128.223.8.112:12665]
1458362731113|[INTERNAL] | heartbeats received from node [130.253.21.121:12665]
1458362731433|  [CIRCLE] | retrieving node of index 6
1458362731433|  [CIRCLE] | retrieved node [134.197.113.4:12664]
1458362731433|[INTERNAL] | heartbeats sent to node [134.197.113.4:12665]
1458362732132|[INTERNAL] | heartbeats received from node [128.208.4.99:12665]
1458362732417|[INTERNAL] | heartbeats received from node [142.103.2.2:12665]
1458362732433|  [CIRCLE] | retrieving node of index 7
1458362732434|  [CIRCLE] | retrieved node [134.197.113.3:12664]
1458362732434|[INTERNAL] | heartbeats sent to node [134.197.113.3:12665]
1458362733434|  [CIRCLE] | retrieving node of index 8
1458362733434|  [CIRCLE] | retrieved node [130.253.21.121:12664]
1458362733434|[INTERNAL] | heartbeats sent to node [130.253.21.121:12665]
1458362734434|  [CIRCLE] | retrieving node of index 9
1458362734434|  [CIRCLE] | retrieved node [131.179.150.70:12664]
1458362734434|[INTERNAL] | heartbeats sent to node [131.179.150.70:12665]
1458362735426|[INTERNAL] | heartbeats received from node [131.179.150.70:12665]
1458362735436|  [CIRCLE] | retrieving node of index 0
1458362735436|  [CIRCLE] | retrieved node [142.103.2.2:12664]
1458362735436|[INTERNAL] | heartbeats sent to node [142.103.2.2:12665]
1458362736436|  [CIRCLE] | retrieving node of index 1
1458362736436|  [CIRCLE] | retrieved node [128.208.4.99:12664]
1458362736436|[INTERNAL] | heartbeats sent to node [128.208.4.99:12665]
1458362737436|  [CIRCLE] | retrieving node of index 2
1458362737436|  [CIRCLE] | retrieved node [128.208.4.198:12664]
1458362737436|[INTERNAL] | heartbeats sent to node [128.208.4.198:12665]
1458362738408|[INTERNAL] | heartbeats received from node [134.197.113.3:12665]
1458362738437|  [CIRCLE] | retrieving node of index 3
1458362738437|  [CIRCLE] | retrieved node [128.223.8.114:12664]
1458362738437|[INTERNAL] | heartbeats sent to node [128.223.8.114:12665]
1458362739420|[INTERNAL] | heartbeats received from node [134.197.113.4:12665]
1458362739438|  [CIRCLE] | retrieving node of index 4
1458362739438|  [CIRCLE] | retrieved node [128.223.8.111:12664]
1458362739438|[INTERNAL] | heartbeats sent to node [128.223.8.111:12665]
1458362739448|[INTERNAL] | heartbeats received from node [128.223.8.112:12665]
1458362739957|[INTERNAL] | heartbeats received from node [128.223.8.111:12665]
1458362740030|[INTERNAL] | heartbeats received from node [128.223.8.114:12665]
1458362740438|  [CIRCLE] | retrieving node of index 5
1458362740438|  [CIRCLE] | retrieved node [128.223.8.112:12664]
1458362740438|[INTERNAL] | heartbeats sent to node [128.223.8.112:12665]
1458362740507|[INTERNAL] | heartbeats received from node [128.208.4.198:12665]
1458362741438|  [CIRCLE] | retrieving node of index 6
1458362741439|  [CIRCLE] | retrieved node [134.197.113.4:12664]
1458362741439|[INTERNAL] | heartbeats sent to node [134.197.113.4:12665]
1458362741677|[INTERNAL] | heartbeats received from node [130.253.21.121:12665]
1458362742141|[INTERNAL] | heartbeats received from node [128.208.4.99:12665]
1458362742439|  [CIRCLE] | retrieving node of index 7
